label_place,hotel room_rt,private room_rt,shared room_rt,accommodates,bedrooms,beds,is_wifi,is_air_cond,amenities_count,number_of_reviews,review_scores_rating,calculated_host_listings_count,number_of_reviews_ltm,number_of_reviews_l30d,first_review_in_days,last_review_in_days,calculated_host_listings_count_private_rooms,reviews_per_month,id,label_place
0,0.04694323144104803,0.925764192139738,0.027292576419213975,2.089519650655022,1.0331149927219796,1.460334788937409,0.9741630276564774,1.0,23.49344978165939,33.332969432314414,3.5396324599708886,8.211426491994178,12.294395924308589,0.7718340611353712,806.9486899563319,300.7088791848617,6.7212518195050945,1.3178457059679765,1.517771724592429e+17,2748
1,0.0,0.0,0.00048348106365834006,4.716357775987107,2.132634971796938,3.247703464947623,0.9892022562449637,1.0,29.192747784045125,63.24979854955681,4.558491539081372,31.144721998388395,17.810153102336827,1.1814665592264304,1389.1734085414987,158.30072522159548,0.29798549556809023,1.3507058823529425,8.823529476028187e+16,6205
2,0.001125809175344779,0.9819870531944835,0.016887137630171686,1.7711792851111736,1.0785251899802983,1.2003940332113707,0.9487756825218125,0.0,17.282859555305375,24.01407261469181,3.233734871939203,7.535603715170279,5.925133689839572,0.45989304812834225,983.1055446101885,506.0427807486631,6.956093442161554,0.862051787222064,1.3867190942804269e+17,3553
3,0.0005402485143165856,0.0,0.005402485143165856,4.080497028633172,1.9789303079416531,2.8011885467314963,0.9675850891410048,0.0,30.138303619665045,54.16909778498109,3.7462290653700725,15.37979470556456,13.619124797406807,0.9016747703943814,1155.0972447325769,124.72501350621286,0.5467314964883847,1.080491626148028,1.5365542102100477e+17,1851
4,0.0211118930330753,0.0,0.009148486980999296,4.099929627023223,2.0408163265306123,2.8268824771287826,0.9788881069669247,1.0,23.635467980295566,0.07107670654468684,0.05822660098522168,50.990851513019,0.04011259676284307,0.00422237860661506,29.733990147783253,27.39338494018297,0.6502463054187192,0.01131597466572836,3.282317825948279e+17,1421
